future,policy,budget,selector,v_oracle,v_robust_worst,v_selected,regret,NR,NR_lo,NR_hi,spearman,v_selected_noisefree,n_boot_used,best_selector_in_cell
AZT@0.44,mlde_ridge,24,dist_to_best,1.2782,0.9416,1.0427,0.2355,0.6997,0.4675,0.75,0.0053,1.0963,2000,
AZT@0.44,mlde_ridge,24,n_better_neighbors,1.2782,0.9416,1.0572,0.221,0.6566,0.2116,0.9517,0.058,1.0829,2000,
AZT@0.44,mlde_ridge,24,local_ruggedness,1.2782,0.9416,1.0572,0.221,0.6566,0.2068,1.0138,0.0659,1.0829,2000,
AZT@0.44,mlde_ridge,24,proxy_eov_today,1.2782,0.9416,1.158,0.1202,0.3572,0.2815,0.8366,0.0175,1.2266,2000,
AZT@0.44,mlde_ridge,24,oracle,1.2782,0.9416,1.2782,0.0,0.0,0.0,0.0,1.0,1.2689,2000,
AZT@0.44,mlde_ridge,96,random,1.361,1.1334,1.186,0.175,0.7689,0.666,0.7785,,1.1469,2000,
AZT@0.44,mlde_ridge,96,current_fitness,1.361,1.1334,1.1697,0.1913,0.8408,0.3435,0.8536,0.0416,1.1052,2000,
AZT@0.44,mlde_ridge,96,known_family_mean,1.361,1.1334,1.1227,0.2383,1.0472,0.5513,1.0754,-0.0014,1.1287,2000,
AZT@0.44,mlde_ridge,96,known_family_worst,1.361,1.1334,1.1227,0.2383,1.0472,0.4216,1.1035,0.0049,1.1287,2000,
AZT@0.44,mlde_ridge,96,local_robustness,1.361,1.1334,1.1763,0.1847,0.8118,0.7226,0.8988,0.0155,1.1809,2000,
AZT@0.44,mlde_ridge,96,neighbor_informative_frac,1.361,1.1334,1.1474,0.2136,0.9387,0.3146,1.0345,-0.025,1.1117,2000,
AZT@0.44,mlde_ridge,96,dist_to_best,1.361,1.1334,1.1749,0.1861,0.8177,0.5672,1.0394,0.0175,1.1048,2000,
AZT@0.44,mlde_ridge,96,n_better_neighbors,1.361,1.1334,1.191,0.17,0.7471,0.3967,1.0867,0.0277,1.1043,2000,
AZT@0.44,mlde_ridge,96,local_ruggedness,1.361,1.1334,1.191,0.17,0.7471,0.3914,1.0878,0.0236,1.1043,2000,
AZT@0.44,mlde_ridge,96,proxy_eov_today,1.361,1.1334,1.1873,0.1737,0.7632,0.6065,0.7884,0.0345,1.0938,2000,
AZT@0.44,mlde_ridge,96,oracle,1.361,1.1334,1.361,0.0,0.0,0.0,0.0,1.0,1.2617,2000,
AZT@0.44,mlde_ridge,384,random,1.4005,1.217,1.2653,0.1353,0.7368,0.72,0.7495,,1.2075,2000,
AZT@0.44,mlde_ridge,384,current_fitness,1.4005,1.217,1.2054,0.1952,1.0631,0.6417,1.0846,0.0239,1.176,2000,
AZT@0.44,mlde_ridge,384,known_family_mean,1.4005,1.217,1.2705,0.13,0.7082,0.691,1.0763,0.0168,1.1363,2000,
AZT@0.44,mlde_ridge,384,known_family_worst,1.4005,1.217,1.2705,0.13,0.7082,0.691,0.8198,0.0357,1.1363,2000,
AZT@0.44,mlde_ridge,384,local_robustness,1.4005,1.217,1.2587,0.1418,0.7723,0.561,0.8236,0.0214,1.1931,2000,
AZT@0.44,mlde_ridge,384,neighbor_informative_frac,1.4005,1.217,1.2463,0.1543,0.8404,0.403,1.0428,0.006,1.157,2000,
AZT@0.44,mlde_ridge,384,dist_to_best,1.4005,1.217,1.2636,0.1369,0.7459,0.5312,0.8809,-0.0666,1.176,2000,
AZT@0.44,mlde_ridge,384,n_better_neighbors,1.4005,1.217,1.2791,0.1215,0.6617,0.4744,1.051,0.0379,1.2161,2000,
AZT@0.44,mlde_ridge,384,local_ruggedness,1.4005,1.217,1.2791,0.1215,0.6617,0.4694,1.0564,0.0314,1.2161,2000,
AZT@0.44,mlde_ridge,384,proxy_eov_today,1.4005,1.217,1.2538,0.1467,0.7992,0.5764,0.8152,0.0037,1.1466,2000,
AZT@0.44,mlde_ridge,384,oracle,1.4005,1.217,1.4005,0.0,0.0,0.0,0.0,1.0,1.2689,2000,
AZT@36.0,random,24,random,3.0565,0.9692,1.6439,1.4127,0.6768,0.6298,0.6905,,1.6042,2000,
AZT@36.0,random,24,current_fitness,3.0565,0.9692,1.5217,1.5348,0.7353,0.6907,1.0118,-0.0352,1.4,2000,
AZT@36.0,random,24,known_family_mean,3.0565,0.9692,2.3459,0.7106,0.3404,0.2419,0.7512,0.0106,2.6577,2000,
AZT@36.0,random,24,known_family_worst,3.0565,0.9692,2.3459,0.7106,0.3404,0.242,0.9569,-0.0055,2.6577,2000,
AZT@36.0,random,24,local_robustness,3.0565,0.9692,2.6132,0.4434,0.2124,0.0929,0.765,-0.0096,2.679,2000,
AZT@36.0,random,24,neighbor_informative_frac,3.0565,0.9692,1.8455,1.211,0.5802,0.2132,1.0343,0.0253,0.8237,2000,
AZT@36.0,random,24,dist_to_best,3.0565,0.9692,1.4926,1.5639,0.7492,0.2612,0.7716,0.0567,1.1213,2000,
AZT@36.0,random,24,n_better_neighbors,3.0565,0.9692,0.8683,2.1882,1.0483,0.3226,1.0378,-0.0503,0.599,2000,
AZT@36.0,random,24,local_ruggedness,3.0565,0.9692,0.8683,2.1882,1.0483,0.3262,1.0415,-0.0493,0.599,2000,
AZT@36.0,random,24,proxy_eov_today,3.0565,0.9692,1.8498,1.2067,0.5781,0.468,0.7403,-0.0113,3.105,2000,
AZT@36.0,random,24,oracle,3.0565,0.9692,3.0565,0.0,0.0,0.0,0.0,1.0,3.2155,2000,
AZT@36.0,random,96,random,3.1198,1.9278,2.4457,0.6742,0.5655,0.5349,0.5778,,2.419,2000,
AZT@36.0,random,96,current_fitness,3.1198,1.9278,2.3676,0.7522,0.631,0.5019,0.9644,0.0317,1.7211,2000,
AZT@36.0,random,96,known_family_mean,3.1198,1.9278,2.6476,0.4722,0.3961,0.0001,0.9577,0.0486,2.6295,2000,
AZT@36.0,random,96,known_family_worst,3.1198,1.9278,2.6476,0.4722,0.3961,0.0001,0.6062,0.0443,2.6295,2000,
AZT@36.0,random,96,local_robustness,3.1198,1.9278,2.7815,0.3383,0.2838,0.2586,0.6338,0.0465,2.9189,2000,
AZT@36.0,random,96,neighbor_informative_frac,3.1198,1.9278,2.104,1.0158,0.8522,0.1153,1.1139,-0.006,2.7185,2000,
AZT@36.0,random,96,dist_to_best,3.1198,1.9278,2.4535,0.6663,0.5589,0.1678,0.7805,0.0827,2.4199,2000,
AZT@36.0,random,96,n_better_neighbors,3.1198,1.9278,2.0631,1.0567,0.8865,0.1035,0.9838,0.0124,1.7678,2000,
AZT@36.0,random,96,local_ruggedness,3.1198,1.9278,2.0631,1.0567,0.8865,0.1045,0.9745,0.0145,1.7678,2000,
AZT@36.0,random,96,proxy_eov_today,3.1198,1.9278,2.3198,0.8001,0.6712,0.4666,0.7255,-0.0725,2.7372,2000,
AZT@36.0,random,96,oracle,3.1198,1.9278,3.1198,0.0,0.0,0.0,0.0,1.0,3.2358,2000,
AZT@36.0,random,384,random,3.3283,2.7374,2.9354,0.3929,0.6649,0.6197,0.6811,,2.9284,2000,
